min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,class
40,41,50,2,40,239,1300,402,349,156927,897442,142920,21,172923,1098891,213247,187420613,6,104,4275,87,20823,TELNET
40,40,50,1,40,212,1300,371,374,188358,911521,162782,59,204080,1112968,222059,224174137,6,153,6262,131,27839,TELNET
40,46,49,3,40,45,52,5,29642,74780,127820,48260,55,78839,143778,51514,7467599,6,6,278,7,315,TELNET
40,42,50,2,40,53,327,46,29642,183249,613525,125809,55,176207,829537,178872,17056910,6,41,1732,42,2245,TELNET
40,43,50,2,40,142,1247,155,26350,152434,800256,140763,55,153797,881691,177094,27525061,6,97,4171,94,13438,TELNET
40,43,50,2,40,189,1247,129,11357,115387,800256,114402,55,116007,993707,140554,37500666,6,213,9265,207,39155,TELNET
40,43,50,2,40,173,1247,130,11357,130877,800256,119528,55,137973,993707,161386,47322437,6,252,10852,234,40628,TELNET
40,42,50,2,40,164,1247,130,11357,139952,800256,125454,55,153102,993707,176290,57412505,6,301,12900,271,44510,TELNET
40,42,50,2,40,164,1247,130,11357,140166,800256,125294,55,153102,993707,176290,57615717,6,302,12940,271,44510,TELNET
40,42,50,2,40,174,1300,166,11357,139929,800256,125149,8,151639,993707,175862,87417634,6,304,13020,276,48082,TELNET
40,42,50,2,40,176,1300,168,11357,139929,800256,125149,8,151639,993707,175862,92690648,6,306,13100,277,48787,TELNET
40,42,50,2,40,185,1300,195,11357,139649,800256,125030,8,150113,993707,175483,122750007,6,309,13220,282,52359,TELNET
40,42,50,2,40,187,1300,197,11357,139856,800256,124870,8,150247,993707,175172,127939391,6,311,13300,284,53126,TELNET
40,42,50,2,40,194,1300,217,11357,140039,800256,124700,8,149148,993707,174997,152782795,6,313,13380,287,55856,TELNET
40,42,50,2,40,198,1300,221,11357,140039,800256,124700,8,149148,993707,174997,162740172,6,315,13460,289,57363,TELNET
40,42,50,2,40,207,1300,240,11357,140059,800256,124492,8,148072,993707,174811,192813663,6,318,13580,293,60895,TELNET
40,42,50,2,40,209,1300,241,11357,140336,800256,124377,8,148253,993707,174519,198066182,6,320,13660,295,61662,TELNET
40,42,50,2,40,216,1300,256,11357,140204,800256,124192,8,147191,993707,174336,222786589,6,322,13740,298,64392,TELNET
40,42,50,2,40,219,1300,259,11357,140204,800256,124192,8,147191,993707,174336,232844646,6,324,13820,300,65899,TELNET
40,42,50,2,40,228,1300,274,11357,140287,800256,123994,8,146141,993707,174152,262918100,6,327,13940,304,69431,TELNET
40,42,50,2,40,230,1300,275,11357,140287,800256,123994,8,146141,993707,174152,267846556,6,328,13980,305,70158,TELNET
40,46,50,3,40,49,113,19,384,34312,125339,38275,390,30176,93605,32741,7321220,6,11,506,14,687,TELNET
40,42,50,3,40,45,113,14,384,125525,691202,145828,341,127842,929313,198647,26846091,6,26,1117,26,1184,TELNET
40,42,50,2,40,236,1300,285,11357,140443,800256,123637,8,145053,993707,173650,293092202,6,331,14100,309,72928,TELNET
40,41,50,2,40,69,384,88,384,133896,691202,108810,280,146153,929313,148338,33021910,6,63,2625,56,3877,TELNET
40,42,50,2,40,238,1300,286,11357,140638,800256,123482,8,145072,993707,173343,302949071,6,334,14220,312,74475,TELNET
40,46,50,3,40,49,113,19,401,15359,47311,20613,214,14848,43746,19468,7680116,6,11,506,14,687,TELNET
40,41,50,2,40,90,1114,180,384,152310,1106389,153958,280,178777,1147916,201093,56834373,6,95,3929,80,7253,TELNET
40,41,50,1,40,77,1114,144,384,135372,1106389,139364,280,163311,1147916,190832,66823200,6,163,6711,132,10225,TELNET
40,42,50,2,40,246,1300,296,11357,140971,800256,123150,8,144204,993707,172859,332921987,6,338,14380,317,78047,TELNET
40,41,50,1,40,79,1114,143,384,144326,1106389,134719,280,182867,1147916,193384,75869112,6,216,8865,167,13222,TELNET
40,42,50,2,40,247,1300,296,11357,140971,800256,123150,8,144204,993707,172859,342980019,6,340,14460,319,78865,TELNET
40,41,50,2,40,61,411,75,401,129442,541067,111832,214,130463,742480,150863,41705597,6,53,2218,48,2948,TELNET
40,42,50,2,40,246,1300,296,11357,140971,800256,123150,8,144204,993707,172859,353040435,6,341,14500,320,78957,TELNET
40,41,50,2,40,79,1300,158,401,154363,903809,157896,214,179118,996062,211498,51286492,6,99,4087,83,6592,TELNET
40,42,50,2,40,252,1300,302,11357,141161,800256,122799,8,143205,993707,172365,363196651,6,344,14620,324,81727,TELNET
40,41,50,1,40,90,1300,172,401,170759,903809,171391,214,211692,996062,240002,59910620,6,127,5222,101,9154,TELNET
40,41,50,1,40,97,1300,194,384,144789,1106389,134162,280,180659,1147916,192625,105640867,6,220,9025,172,16794,TELNET
40,42,50,2,40,255,1300,304,11357,141161,800256,122799,8,143205,993707,172365,373053522,6,346,14700,326,83234,TELNET
40,41,50,1,40,153,1300,297,401,182847,1005803,193359,214,214189,1006980,259815,71980257,6,135,5542,112,17180,TELNET
40,41,50,1,40,101,1300,199,384,144789,1106389,134162,280,180659,1147916,192625,110669880,6,221,9065,173,17499,TELNET
40,42,50,2,40,254,1300,304,11357,141161,800256,122799,8,143205,993707,172365,378082530,6,347,14740,327,83325,TELNET
40,40,50,1,40,204,1300,349,401,204603,1005806,225417,214,229962,1006980,290401,81233637,6,145,5942,125,25577,TELNET
40,42,50,2,40,254,1300,303,11357,141161,800256,122799,8,143205,993707,172365,388039978,6,348,14780,328,83417,TELNET
40,40,50,1,40,228,1300,377,401,213973,1005806,238740,214,234349,1006980,301799,88274257,6,151,6182,133,30424,TELNET
40,41,50,1,40,114,1300,235,384,144670,1106389,133855,132,178472,1147916,192469,135714367,6,223,9145,176,20229,TELNET
40,42,50,2,40,261,1300,313,11357,141489,800256,122474,8,142113,993707,171894,403227602,6,352,14940,333,86989,TELNET
40,41,50,1,40,122,1300,243,384,144670,1106389,133855,132,178472,1147916,192469,145772910,6,225,9225,178,21758,TELNET
40,42,50,2,40,261,1300,313,11357,141679,800256,122324,8,142077,993707,171601,413084469,6,355,15060,336,87847,TELNET
40,42,50,2,40,260,1300,313,11357,141679,800256,122324,8,142077,993707,171601,423142494,6,356,15100,337,87939,TELNET
40,42,50,2,40,266,1300,321,638,141230,800256,122387,8,140703,993707,171272,432969415,6,358,15180,341,90709,TELNET
40,40,50,1,40,137,1300,274,384,144250,1106389,133602,132,174345,1147916,192013,175845890,6,229,9385,184,25315,TELNET
40,42,50,2,40,268,1300,322,638,141230,800256,122387,8,140703,993707,171272,443157975,6,360,15260,343,92216,TELNET
40,40,50,1,40,140,1300,276,384,144250,1106389,133602,132,174345,1147916,192013,180875013,6,230,9425,185,26020,TELNET
40,42,50,2,40,268,1300,322,638,141230,800256,122387,8,140703,993707,171272,448186980,6,361,15300,344,92307,TELNET
40,42,50,2,40,267,1300,322,638,141230,800256,122387,8,140703,993707,171272,458145833,6,362,15340,345,92399,TELNET
40,40,50,1,40,152,1300,293,384,144387,1106389,133049,132,172067,1147916,191216,206422304,6,233,9545,189,28790,TELNET
40,42,50,2,40,274,1300,330,638,141296,800256,122198,8,139765,993707,171080,473231468,6,365,15460,349,95931,TELNET
40,40,50,1,40,158,1300,296,384,144649,1106389,132796,132,171879,1147916,190676,216279541,6,236,9665,192,30359,TELNET
40,42,50,2,40,274,1300,330,638,141479,800256,122047,8,139684,993707,170800,483188915,6,368,15580,352,96789,TELNET
40,42,50,2,40,274,1300,330,638,141479,800256,122047,8,139684,993707,170800,493246938,6,369,15620,353,96881,TELNET
40,42,50,2,40,279,1300,337,638,141406,800256,121861,8,138761,993707,170607,503204390,6,371,15700,356,99611,TELNET
40,40,50,1,40,172,1300,313,384,144991,1106389,132252,132,169874,1147916,189899,246352666,6,240,9825,197,33931,TELNET
40,42,50,2,40,281,1300,338,638,141594,800256,121715,8,138701,993707,170328,513463579,6,374,15820,359,101158,TELNET
40,40,50,1,40,174,1300,315,384,144991,1106389,132252,132,169874,1147916,189899,251381681,6,241,9865,198,34636,TELNET
40,42,50,2,40,281,1300,337,638,141594,800256,121715,8,138701,993707,170328,518291773,6,375,15860,360,101249,TELNET
40,42,50,2,40,280,1300,337,638,141594,800256,121715,8,138701,993707,170328,528349457,6,376,15900,361,101341,TELNET
40,40,50,1,40,185,1300,332,384,144827,1106389,131972,132,167968,1147916,189673,276325583,6,243,9945,201,37366,TELNET
40,42,50,2,40,287,1300,345,638,141548,800256,121526,8,137793,993707,170136,543335918,6,379,16020,365,104873,TELNET
40,40,50,1,40,191,1300,335,384,144827,1106389,131972,132,167968,1147916,189673,286383611,6,245,10025,203,38895,TELNET
40,42,50,2,40,287,1300,345,638,141548,800256,121526,8,137793,993707,170136,553393942,6,381,16100,367,105691,TELNET
40,42,50,2,40,287,1300,344,638,141548,800256,121526,8,137793,993707,170136,563351393,6,382,16140,368,105783,TELNET
40,42,50,2,40,292,1300,351,638,141663,800256,121353,8,136897,993707,169941,573409412,6,384,16220,371,108513,TELNET
40,40,50,1,40,204,1300,349,384,145092,1106389,131428,132,166370,1147916,188648,316758854,6,249,10185,208,42467,TELNET
40,42,50,2,40,294,1300,351,638,141849,800256,121208,8,136800,993707,169672,583366867,6,387,16340,374,110060,TELNET
40,40,50,1,40,205,1300,349,384,145343,1106389,131185,132,166509,1147916,188136,321989024,6,251,10265,210,43212,TELNET
40,42,50,2,40,293,1300,351,638,141849,800256,121208,8,136800,993707,169672,588395875,6,388,16380,375,110151,TELNET
40,42,50,2,40,293,1300,351,638,141849,800256,121208,8,136800,993707,169672,598454417,6,389,16420,376,110243,TELNET
40,42,50,2,40,299,1300,358,638,141830,800256,121020,8,135923,993707,169473,613440368,6,392,16540,380,113720,TELNET
40,40,50,1,40,217,1300,360,384,145768,1106389,130677,132,165079,1147916,187199,352566068,6,255,10425,215,46729,TELNET
40,42,50,2,40,298,1300,357,638,142193,800256,120733,8,135986,993707,168954,623699550,6,396,16700,384,114618,TELNET
40,40,50,1,40,218,1300,360,384,146013,1106389,130438,132,164772,1147916,186739,357795600,6,257,10505,217,47496,TELNET
40,42,50,2,40,297,1300,356,638,142374,800256,120591,8,136135,993707,168703,633958734,6,398,16780,386,114750,TELNET
40,42,50,2,40,301,1300,360,638,142656,800256,120278,8,135419,993707,168249,644217930,6,401,16900,390,117465,TELNET
40,40,50,1,40,227,1300,368,384,146424,1106389,129938,132,163155,1147916,186005,383544215,6,260,10625,221,50211,TELNET
40,42,50,2,40,303,1300,360,638,142656,800256,120278,8,135419,993707,168249,653974273,6,403,16980,392,118972,TELNET
40,40,50,1,40,231,1300,369,384,146663,1106389,129703,132,162971,1147916,185529,393501589,6,263,10745,224,51758,TELNET
40,42,50,2,40,302,1300,360,638,142656,800256,120278,8,135419,993707,168249,659003221,6,404,17020,393,119063,TELNET
40,40,50,1,40,230,1300,368,384,146663,1106389,129703,132,162971,1147916,185529,408488051,6,264,10785,225,51850,TELNET
40,40,50,1,40,240,1300,376,384,146708,1106389,129222,132,161426,1147916,184570,423876898,6,268,10945,230,55367,TELNET
40,42,50,2,40,307,1300,365,638,142761,800256,119962,8,134749,993707,167660,684550602,6,408,17180,398,122580,TELNET
40,40,50,1,40,242,1300,376,384,146708,1106389,129222,132,161426,1147916,184570,433934850,6,270,11025,232,56185,TELNET
40,42,50,2,40,309,1300,365,638,142761,800256,119962,8,134749,993707,167660,689579611,6,409,17220,399,123307,TELNET
40,40,50,1,40,241,1300,375,384,146708,1106389,129222,132,161426,1147916,184570,443892298,6,271,11065,233,56277,TELNET
40,40,50,1,40,248,1300,384,384,147073,1106389,128726,132,159905,1147916,183841,454252068,6,274,11185,237,58992,TELNET
40,42,50,2,40,312,1300,370,638,142333,800256,120031,8,133512,993707,167363,714727073,6,411,17300,403,126022,TELNET
40,40,50,1,40,253,1300,386,384,147073,1106389,128726,132,159905,1147916,183841,464008352,6,276,11265,239,60499,TELNET
40,42,50,2,40,313,1300,370,638,142681,800256,119751,8,133473,993707,166846,725084446,6,415,17460,407,127609,TELNET
40,42,50,2,40,312,1300,369,638,142681,800256,119751,8,133473,993707,166846,729912299,6,416,17500,408,127700,TELNET
40,42,50,2,40,312,1300,369,638,142681,800256,119751,8,133473,993707,166846,739970324,6,417,17540,409,127792,TELNET
40,40,50,1,40,263,1300,396,384,147242,1106389,128476,132,158292,1147916,183605,494081841,6,279,11385,243,63976,TELNET
40,42,50,2,40,317,1300,375,638,142681,800256,119571,8,132655,993707,166658,754956786,6,420,17660,413,131269,TELNET
40,40,50,1,40,265,1300,396,384,147242,1106389,128476,132,158292,1147916,183605,499113032,6,280,11425,244,64703,TELNET
40,42,50,2,40,316,1300,374,638,142856,800256,119434,8,132849,993707,166439,760186956,6,422,17740,415,131395,TELNET
40,40,50,1,40,272,1300,405,384,147172,1106389,128206,132,156712,1147916,183359,524156275,6,282,11505,247,67378,TELNET
40,40,50,1,40,275,1300,404,384,147400,1106389,127981,132,156845,1147916,182910,534414532,6,285,11625,250,68925,TELNET
40,40,50,1,40,284,1300,409,384,147804,1106389,127517,132,155486,1147916,182214,564186286,6,289,11785,255,72442,TELNET
40,40,50,1,40,285,1300,409,384,147804,1106389,127517,132,155486,1147916,182214,569215297,6,290,11825,256,73169,TELNET
40,40,50,1,40,292,1300,417,384,147791,1106389,127249,132,153979,1147916,181964,594260895,6,292,11905,259,75844,TELNET
40,40,50,1,40,296,1300,417,384,147791,1106389,127249,132,153979,1147916,181964,604317805,6,294,11985,261,77351,TELNET
40,40,50,1,40,211,1300,359,401,208654,1005806,224005,214,237862,1006980,291087,562208454,6,178,7280,151,31951,TELNET
40,40,50,1,40,190,1300,338,401,204642,1005806,213700,214,245749,1006980,285010,571964732,6,217,8866,175,33376,TELNET
40,40,50,1,40,184,1300,332,401,203817,1005806,214890,214,249071,1130268,288343,579231495,6,230,9392,183,33716,TELNET
40,40,50,1,40,305,1300,424,384,147601,1106389,127016,132,152500,1147916,181706,634290723,6,297,12105,265,80828,TELNET
40,40,50,1,40,306,1300,424,384,147601,1106389,127016,132,152500,1147916,181706,639319803,6,298,12145,266,81555,TELNET
40,41,50,2,40,308,1300,375,638,151891,810832,132562,8,147164,993707,186984,916991566,6,456,19121,438,134980,TELNET
40,40,50,1,40,313,1300,431,384,147663,1106389,126755,132,151050,1147916,181441,664364292,6,300,12225,269,84230,TELNET
40,41,50,2,40,290,1300,369,638,149333,810832,133950,8,150464,993707,190348,927250766,6,510,21317,475,137845,TELNET
40,40,50,1,40,315,1300,430,384,147887,1106389,126540,132,151236,1147916,181029,674321664,6,303,12345,272,85777,TELNET
40,41,50,2,40,277,1300,363,638,149498,971030,134229,8,156164,1173453,192481,937107619,6,556,23185,503,139505,TELNET
40,41,50,2,40,276,1300,363,426,150333,971030,136413,8,157564,1173453,195515,937794090,6,558,23265,505,139585,TELNET
40,41,50,2,40,52,358,49,408,148719,578631,134099,236,159434,799695,192949,13939776,6,49,2053,44,2327,TELNET
40,40,50,1,40,323,1300,436,384,147771,1106389,126291,132,149818,1147916,180763,704395422,6,306,12465,276,89254,TELNET
40,41,50,2,40,69,1300,156,408,148566,578631,122415,236,173506,799695,186725,20578071,6,82,3396,68,4744,TELNET
40,41,50,2,40,81,1300,199,408,145192,578631,120975,236,171634,799695,185805,29255590,6,97,4006,80,6547,TELNET
40,40,50,1,40,319,1300,433,384,148026,1106389,125407,132,149134,1147916,179085,716565454,6,313,12748,283,90324,TELNET
40,40,50,1,40,299,1300,426,384,150956,1106389,129488,132,161311,1147916,189523,725617597,6,361,14698,315,94399,TELNET
40,40,50,1,40,294,1300,423,384,148999,1106389,128350,132,160509,1147916,187870,727829756,6,371,15104,322,94699,TELNET
40,42,50,2,40,53,358,50,430,156380,686198,152530,76,164233,833126,214590,13452078,6,45,1890,42,2228,TELNET
40,41,50,2,40,56,358,57,430,162906,686198,141503,76,197570,833126,217658,18782839,6,76,3150,62,3500,TELNET
40,41,50,2,40,61,705,88,430,156890,686198,125620,76,204641,833126,199707,30550724,6,106,4367,80,4945,TELNET
40,43,50,3,40,45,113,14,405,108124,533385,123068,236,105170,773629,167652,10153682,6,25,1077,26,1184,TELNET
40,41,50,1,40,98,1300,211,430,157946,686198,123979,76,198071,833126,197510,60724801,6,111,4567,86,8502,TELNET
40,41,50,2,40,68,812,111,405,156877,777268,151990,236,183397,952152,219888,20120179,6,74,3073,63,4287,TELNET
40,41,50,1,40,105,1300,220,430,157946,686198,123979,76,198071,833126,197510,65552651,6,112,4607,87,9207,TELNET
40,41,50,2,40,64,812,102,405,164458,777268,143740,236,209535,952152,222215,29027822,6,98,4045,75,4857,TELNET
40,41,50,1,40,59,812,88,405,163328,782498,142561,236,225209,952152,223301,39991073,6,140,5750,100,5980,TELNET
40,41,50,1,40,131,1300,265,430,158182,686198,122898,76,192706,833126,196319,90798297,6,115,4727,91,11922,TELNET
40,41,50,1,40,62,812,98,405,157217,782498,138246,236,214352,952152,215878,44215443,6,172,7054,124,7720,TELNET
40,41,50,1,40,145,1300,279,430,158182,686198,122898,76,192706,833126,196319,100655162,6,117,4807,93,13514,TELNET
40,43,50,3,40,46,113,15,404,119038,660378,174115,152,115832,769071,207438,9398313,6,22,954,23,1064,TELNET
40,41,50,2,40,57,358,56,323,135192,660378,117810,152,154805,824786,159811,19391292,6,78,3236,66,3763,TELNET
40,41,50,1,40,81,1300,182,405,157332,782498,137832,21,210741,952152,215799,69058762,6,174,7134,127,10395,TELNET
40,41,50,1,40,52,358,44,323,150055,928924,162987,152,191565,1031820,226700,29360217,6,137,5637,107,5644,TELNET
40,40,50,1,40,91,1300,194,405,157596,782498,137455,21,210044,952152,215018,79217367,6,177,7254,130,11948,TELNET
40,41,50,1,40,174,1300,315,430,158770,686198,121851,76,188166,833126,195005,130728658,6,121,4967,98,17094,TELNET
40,41,50,1,40,76,1130,149,323,163473,1137031,175491,152,216135,1031820,238357,39406765,6,172,7079,129,9840,TELNET
40,41,50,1,40,179,1300,317,430,158770,686198,121851,76,188166,833126,195005,135657091,6,122,5007,99,17799,TELNET
40,41,50,1,40,85,1148,172,323,171254,1137031,182268,152,225285,1142160,252696,46950280,6,189,7775,141,12082,TELNET
40,41,50,1,40,101,1300,213,323,175665,1137031,185107,152,232120,1142160,260610,57209467,6,215,8852,160,16309,TELNET
40,40,50,1,40,115,1300,249,405,157495,782498,137047,21,206576,952152,214904,109089718,6,180,7374,134,15431,TELNET
40,41,50,1,40,200,1300,350,430,158474,686198,121336,76,183941,833126,194802,160701576,6,124,5087,102,20474,TELNET
40,41,50,1,40,100,1300,210,323,181861,1137031,196863,152,238926,1142160,268908,66060531,6,221,9097,165,16628,TELNET
40,40,50,1,40,119,1300,253,405,157495,782498,137047,21,206576,952152,214904,114118721,6,181,7414,135,16158,TELNET
40,41,50,1,40,212,1300,356,430,158474,686198,121336,76,183941,833126,194802,170759601,6,126,5167,104,22066,TELNET
40,41,50,1,40,98,1300,201,323,190055,1137031,199422,152,260938,1142160,277694,79236549,6,251,10338,180,17708,TELNET
40,41,50,1,40,94,1300,190,323,192302,1137031,194269,152,277075,1142160,275676,89294574,6,296,12193,203,19092,TELNET
40,40,50,1,40,136,1300,288,405,157187,782498,136694,21,203221,952152,214740,139062628,6,183,7494,138,18833,TELNET
40,41,50,1,40,97,1300,196,323,190879,1137031,192271,152,280062,1145314,274467,99362637,6,346,14253,234,22896,TELNET
40,40,50,1,40,145,1300,295,405,157187,782498,136694,21,203221,952152,214740,149120652,6,185,7574,140,20364,TELNET
40,40,50,1,40,233,1300,376,430,159137,686198,119851,76,179508,833126,192387,201034256,6,131,5367,110,25646,TELNET
40,41,50,1,40,103,1300,209,282,184532,1137031,184811,152,271380,1145314,265825,109401930,6,412,16978,278,28739,TELNET
40,40,50,1,40,237,1300,377,430,159137,686198,119851,76,179508,833126,192387,205862116,6,132,5407,111,26351,TELNET
40,41,50,1,40,102,1300,203,282,183750,1137031,180393,152,275685,1145314,261185,118261685,6,445,18338,294,30029,TELNET
40,41,50,1,40,99,1300,197,282,186349,1137031,182421,152,285154,1151447,265339,129023773,6,483,19903,313,31269,TELNET
40,40,50,1,40,164,1300,316,405,157545,782498,135931,21,199954,952152,213658,179395305,6,189,7734,145,23905,TELNET
40,40,50,1,40,254,1300,398,430,158681,686198,119424,11,175729,833126,192084,230806017,6,134,5487,114,29026,TELNET
40,41,50,1,40,97,1300,191,282,188069,1137031,183630,152,288953,1151447,268229,139451718,6,517,21310,333,32428,TELNET
40,40,50,1,40,168,1300,319,405,157545,782498,135931,21,199954,952152,213658,184122584,6,190,7774,146,24632,TELNET
40,40,50,1,40,263,1300,400,430,158681,686198,119424,11,175729,833126,192084,240864040,6,136,5567,116,30618,TELNET
40,41,50,1,40,100,1300,198,282,180066,1137031,182090,152,265879,1151447,267294,149434420,6,588,24305,394,39653,TELNET
40,41,50,1,40,97,1300,191,282,178493,1137031,175888,152,269159,1151447,260358,158896109,6,646,26699,424,41296,TELNET
40,40,50,1,40,182,1300,334,405,157583,782498,135204,21,196263,952152,212674,209368220,6,193,7894,150,27347,TELNET
40,41,50,1,40,96,1300,187,282,176861,1137031,171967,152,269048,1151447,255355,169462772,6,691,28559,450,43328,TELNET
40,40,50,1,40,189,1300,338,405,157583,782498,135204,21,196263,952152,212674,219225096,6,195,7974,152,28878,TELNET
40,40,50,1,40,284,1300,419,430,158795,686198,118910,11,172111,833126,191719,270937536,6,139,5687,120,34158,TELNET
40,41,50,1,40,100,1300,198,282,178553,1137031,174192,152,268945,1184873,258893,179349058,6,728,30069,478,47807,TELNET
40,40,50,1,40,288,1300,419,430,158795,686198,118910,11,172111,833126,191719,275865970,6,140,5727,121,34863,TELNET
40,41,50,1,40,100,1300,199,282,168002,1137031,171500,152,241511,1184873,255479,188567288,6,815,33762,558,56153,TELNET
40,41,50,1,40,108,1300,218,282,168503,1137031,173071,152,241504,1184873,256389,198826470,6,838,34694,575,62228,TELNET
40,40,50,1,40,206,1300,356,405,157751,782498,134466,21,193101,952152,211604,249499756,6,199,8134,157,32401,TELNET
40,40,50,1,40,300,1300,431,430,158906,686198,117984,11,168283,833126,190343,301111613,6,143,5847,125,37578,TELNET
40,41,50,1,40,110,1300,219,282,171637,1137031,179974,152,245451,1184873,261656,208884496,6,843,34894,580,63972,TELNET
40,46,50,3,40,49,113,19,417,13930,40265,19552,255,13792,40458,19464,6600721,6,11,506,14,687,TELNET
